student_id,module_code,presentation_code,has_withdrawn,is_early_withdrawal_14d,week_1_minutes,week_2_minutes,week_2_activity_bucket
6516,AAA,2014J,false,false,343.5,63.0,45-89 mins (Moderate)
8462,DDD,2013J,true,false,121.5,219.0,180+ mins (Optimal)
8462,DDD,2014J,true,false,0.0,15.0,<15 mins (Inactive)
11391,AAA,2013J,false,false,274.5,30.0,15-44 mins (At-Risk)
23629,BBB,2013B,false,false,34.5,7.5,<15 mins (Inactive)
23698,CCC,2014J,false,false,37.5,210.0,180+ mins (Optimal)
23798,BBB,2013J,false,false,6.0,126.0,90-179 mins (Good)
24186,GGG,2014B,false,false,3.0,0.0,<15 mins (Inactive)
24213,DDD,2014B,false,false,330.0,151.5,90-179 mins (Good)
24391,GGG,2013J,false,false,19.5,18.0,15-44 mins (At-Risk)
24734,AAA,2014J,false,false,10.5,19.5,15-44 mins (At-Risk)
25107,BBB,2013B,false,false,15.0,0.0,<15 mins (Inactive)
25150,EEE,2014B,false,false,10.5,13.5,<15 mins (Inactive)
25261,CCC,2014J,true,false,280.5,189.0,180+ mins (Optimal)
25572,DDD,2014J,true,false,18.0,27.0,15-44 mins (At-Risk)
25629,BBB,2014B,true,false,16.5,0.0,<15 mins (Inactive)
26023,GGG,2013J,false,false,70.5,7.5,<15 mins (Inactive)
26192,AAA,2014J,false,false,262.5,118.5,90-179 mins (Good)
26211,FFF,2014B,false,false,609.0,708.0,180+ mins (Optimal)
26247,FFF,2013J,false,false,163.5,0.0,<15 mins (Inactive)
26315,BBB,2014J,false,false,216.0,1.5,<15 mins (Inactive)
26734,BBB,2014J,false,false,78.0,39.0,15-44 mins (At-Risk)
26915,EEE,2013J,false,false,28.5,10.5,<15 mins (Inactive)
27116,CCC,2014J,false,false,28.5,232.5,180+ mins (Optimal)
27189,FFF,2014B,false,false,160.5,138.0,90-179 mins (Good)
27417,DDD,2013J,true,false,6.0,46.5,45-89 mins (Moderate)
27417,DDD,2014J,true,false,7.5,16.5,15-44 mins (At-Risk)
27683,FFF,2014B,false,false,3.0,52.5,45-89 mins (Moderate)
27759,BBB,2013J,false,false,97.5,67.5,45-89 mins (Moderate)
27780,EEE,2014B,false,false,42.0,7.5,<15 mins (Inactive)
27891,BBB,2013B,true,false,186.0,27.0,15-44 mins (At-Risk)
27891,BBB,2014B,false,false,18.0,0.0,<15 mins (Inactive)
27935,DDD,2013J,false,false,136.5,70.5,45-89 mins (Moderate)
28046,DDD,2013J,false,false,69.0,10.5,<15 mins (Inactive)
28061,AAA,2014J,false,false,9.0,48.0,45-89 mins (Moderate)
28400,AAA,2013J,false,false,262.5,99.0,90-179 mins (Good)
28418,CCC,2014B,false,false,28.5,78.0,45-89 mins (Moderate)
28787,CCC,2014J,false,false,22.5,78.0,45-89 mins (Moderate)
28808,FFF,2014B,false,false,0.0,28.5,15-44 mins (At-Risk)
28897,FFF,2014B,false,false,385.5,0.0,<15 mins (Inactive)
28952,CCC,2014J,true,true,27.0,0.0,<15 mins (Inactive)
29144,BBB,2013B,false,false,189.0,0.0,<15 mins (Inactive)
29335,FFF,2013J,false,false,387.0,277.5,180+ mins (Optimal)
29411,CCC,2014J,true,false,85.5,13.5,<15 mins (Inactive)
29411,DDD,2013J,false,false,1.5,39.0,15-44 mins (At-Risk)
29420,CCC,2014J,false,false,25.5,4.5,<15 mins (Inactive)
29639,CCC,2014J,false,false,81.0,1102.5,180+ mins (Optimal)
29639,EEE,2014B,false,false,237.0,51.0,45-89 mins (Moderate)
29764,CCC,2014B,false,false,52.5,139.5,90-179 mins (Good)
29769,FFF,2013J,false,false,136.5,43.5,15-44 mins (At-Risk)
29820,CCC,2014B,false,false,57.0,60.0,45-89 mins (Moderate)
29820,EEE,2014B,false,false,91.5,117.0,90-179 mins (Good)
29985,GGG,2014B,false,false,25.5,40.5,15-44 mins (At-Risk)
30091,BBB,2013J,false,false,177.0,19.5,15-44 mins (At-Risk)
30096,CCC,2014J,false,false,0.0,214.5,180+ mins (Optimal)
30268,AAA,2013J,true,true,160.5,108.0,90-179 mins (Good)
30531,FFF,2014B,false,false,225.0,94.5,90-179 mins (Good)
30549,DDD,2013J,false,false,16.5,0.0,<15 mins (Inactive)
30850,CCC,2014J,false,false,378.0,322.5,180+ mins (Optimal)
31014,BBB,2013J,true,false,111.0,114.0,90-179 mins (Good)
31107,GGG,2014B,false,false,231.0,85.5,45-89 mins (Moderate)
31161,CCC,2014J,false,false,304.5,114.0,90-179 mins (Good)
31173,DDD,2013J,false,false,79.5,21.0,15-44 mins (At-Risk)
31205,GGG,2014J,false,false,55.5,10.5,<15 mins (Inactive)
31269,DDD,2013J,true,false,124.5,82.5,45-89 mins (Moderate)
31269,DDD,2014B,true,false,0.0,34.5,15-44 mins (At-Risk)
31604,AAA,2013J,false,false,33.0,231.0,180+ mins (Optimal)
31663,BBB,2013B,false,false,453.0,145.5,90-179 mins (Good)
31849,BBB,2013J,false,false,121.5,78.0,45-89 mins (Moderate)
32221,FFF,2013J,false,false,67.5,75.0,45-89 mins (Moderate)
32239,GGG,2013J,false,false,39.0,6.0,<15 mins (Inactive)
32327,BBB,2014J,true,false,118.5,0.0,<15 mins (Inactive)
32885,AAA,2013J,false,false,91.5,174.0,90-179 mins (Good)
33387,DDD,2013J,true,false,21.0,36.0,15-44 mins (At-Risk)
33600,FFF,2013J,true,false,13.5,7.5,<15 mins (Inactive)
33666,BBB,2013B,true,false,42.0,160.5,90-179 mins (Good)
33796,DDD,2014J,false,false,82.5,25.5,15-44 mins (At-Risk)
33915,FFF,2013B,false,false,85.5,370.5,180+ mins (Optimal)
33930,DDD,2013J,false,false,66.0,31.5,15-44 mins (At-Risk)
34068,CCC,2014J,true,false,36.0,25.5,15-44 mins (At-Risk)
34087,DDD,2013J,true,false,43.5,16.5,15-44 mins (At-Risk)
34087,DDD,2014J,false,false,15.0,3.0,<15 mins (Inactive)
34229,BBB,2013B,false,false,58.5,72.0,45-89 mins (Moderate)
34293,FFF,2014B,true,false,60.0,339.0,180+ mins (Optimal)
34353,BBB,2013B,false,false,0.0,36.0,15-44 mins (At-Risk)
34431,BBB,2013B,true,false,18.0,34.5,15-44 mins (At-Risk)
34653,DDD,2013J,false,false,0.0,6.0,<15 mins (Inactive)
34662,BBB,2014J,true,false,85.5,42.0,15-44 mins (At-Risk)
34731,FFF,2013J,true,false,10.5,198.0,180+ mins (Optimal)
34756,BBB,2013B,true,false,25.5,22.5,15-44 mins (At-Risk)
34863,BBB,2013B,false,false,31.5,0.0,<15 mins (Inactive)
35001,GGG,2013J,false,false,12.0,4.5,<15 mins (Inactive)
35340,EEE,2014B,false,false,64.5,34.5,15-44 mins (At-Risk)
35355,CCC,2014J,true,false,45.0,100.5,90-179 mins (Good)
35355,EEE,2013J,false,false,193.5,82.5,45-89 mins (Moderate)
35502,DDD,2014B,true,false,237.0,126.0,90-179 mins (Good)
35508,CCC,2014J,false,false,88.5,0.0,<15 mins (Inactive)
35508,EEE,2014B,false,false,247.5,244.5,180+ mins (Optimal)
35544,FFF,2013B,false,false,34.5,40.5,15-44 mins (At-Risk)
35747,FFF,2014J,true,true,72.0,19.5,15-44 mins (At-Risk)
35796,FFF,2014J,false,false,175.5,103.5,90-179 mins (Good)
35860,FFF,2013B,false,false,54.0,228.0,180+ mins (Optimal)
36347,FFF,2014B,false,false,0.0,88.5,45-89 mins (Moderate)
36385,FFF,2013B,true,false,351.0,70.5,45-89 mins (Moderate)
37298,FFF,2013B,false,false,54.0,105.0,90-179 mins (Good)
37652,CCC,2014J,false,false,46.5,64.5,45-89 mins (Moderate)
38053,AAA,2013J,false,false,202.5,211.5,180+ mins (Optimal)
38234,BBB,2013J,false,false,0.0,39.0,15-44 mins (At-Risk)
38711,BBB,2014J,true,false,33.0,15.0,<15 mins (Inactive)
39208,BBB,2014J,false,false,66.0,64.5,45-89 mins (Moderate)
39411,DDD,2013J,false,false,52.5,21.0,15-44 mins (At-Risk)
39655,BBB,2013B,false,false,39.0,79.5,45-89 mins (Moderate)
39660,DDD,2014B,false,false,78.0,96.0,90-179 mins (Good)
39882,FFF,2014B,false,false,0.0,19.5,15-44 mins (At-Risk)
40184,DDD,2013J,false,false,147.0,103.5,90-179 mins (Good)
40333,CCC,2014B,true,false,22.5,135.0,90-179 mins (Good)
40419,DDD,2013B,true,false,118.5,0.0,<15 mins (Inactive)
40508,EEE,2013J,true,true,22.5,0.0,<15 mins (Inactive)
40563,DDD,2013J,false,false,78.0,66.0,45-89 mins (Moderate)
40604,CCC,2014B,false,false,28.5,27.0,15-44 mins (At-Risk)
40857,FFF,2014J,true,false,169.5,0.0,<15 mins (Inactive)
40878,FFF,2014J,false,false,192.0,141.0,90-179 mins (Good)
41060,DDD,2013B,false,false,33.0,0.0,<15 mins (Inactive)
41414,GGG,2014B,false,false,54.0,9.0,<15 mins (Inactive)
41489,FFF,2014B,false,false,52.5,9.0,<15 mins (Inactive)
41547,BBB,2014J,false,false,117.0,126.0,90-179 mins (Good)
42552,FFF,2014J,false,false,369.0,237.0,180+ mins (Optimal)
42616,FFF,2013J,false,false,240.0,213.0,180+ mins (Optimal)
42638,CCC,2014B,false,false,198.0,223.5,180+ mins (Optimal)
42638,EEE,2013J,false,false,262.5,412.5,180+ mins (Optimal)
42668,FFF,2013B,false,false,7.5,64.5,45-89 mins (Moderate)
42746,CCC,2014J,false,false,19.5,243.0,180+ mins (Optimal)
42746,FFF,2014B,false,false,583.5,252.0,180+ mins (Optimal)
42818,DDD,2013J,false,false,63.0,88.5,45-89 mins (Moderate)
43273,FFF,2013B,false,false,0.0,16.5,15-44 mins (At-Risk)
43284,DDD,2013B,true,false,42.0,42.0,15-44 mins (At-Risk)
43430,FFF,2013B,false,false,100.5,54.0,45-89 mins (Moderate)
43564,EEE,2013J,false,false,96.0,172.5,90-179 mins (Good)
43958,FFF,2013J,true,false,510.0,369.0,180+ mins (Optimal)
43958,FFF,2014J,false,false,85.5,39.0,15-44 mins (At-Risk)
45423,FFF,2014J,false,false,298.5,498.0,180+ mins (Optimal)
45462,AAA,2013J,false,false,111.0,0.0,<15 mins (Inactive)
45642,AAA,2013J,false,false,42.0,109.5,90-179 mins (Good)
45664,CCC,2014B,true,false,0.0,1.5,<15 mins (Inactive)
45664,DDD,2013B,false,false,79.5,64.5,45-89 mins (Moderate)
46016,DDD,2014J,true,false,99.0,64.5,45-89 mins (Moderate)
46148,FFF,2014B,false,false,100.5,43.5,15-44 mins (At-Risk)
46605,CCC,2014B,false,false,163.5,412.5,180+ mins (Optimal)
46705,CCC,2014J,false,false,175.5,43.5,15-44 mins (At-Risk)
46753,DDD,2014B,false,false,162.0,82.5,45-89 mins (Moderate)
46812,DDD,2014J,true,false,36.0,45.0,15-44 mins (At-Risk)
46844,AAA,2014J,false,false,0.0,111.0,90-179 mins (Good)
47063,DDD,2013J,true,false,0.0,10.5,<15 mins (Inactive)
47861,FFF,2014J,false,false,1002.0,889.5,180+ mins (Optimal)
47891,BBB,2014J,false,false,1.5,0.0,<15 mins (Inactive)
48040,BBB,2013J,false,false,124.5,139.5,90-179 mins (Good)
48503,BBB,2013J,false,false,3.0,88.5,45-89 mins (Moderate)
48635,CCC,2014J,true,true,91.5,9.0,<15 mins (Inactive)
48635,FFF,2014B,false,false,294.0,112.5,90-179 mins (Good)
49119,CCC,2014B,false,false,0.0,25.5,15-44 mins (At-Risk)
49119,DDD,2014B,true,false,4.5,66.0,45-89 mins (Moderate)
49123,GGG,2014B,false,false,105.0,0.0,<15 mins (Inactive)
49670,FFF,2013J,true,true,49.5,0.0,<15 mins (Inactive)
50069,BBB,2014B,false,false,0.0,51.0,45-89 mins (Moderate)
50263,CCC,2014B,true,false,19.5,123.0,90-179 mins (Good)
50263,FFF,2013B,false,false,427.5,267.0,180+ mins (Optimal)
50476,DDD,2014B,false,false,64.5,46.5,45-89 mins (Moderate)
50487,FFF,2013J,false,false,175.5,315.0,180+ mins (Optimal)
50610,DDD,2013J,false,false,0.0,1.5,<15 mins (Inactive)
50993,BBB,2013B,false,false,6.0,0.0,<15 mins (Inactive)
51030,DDD,2014B,false,false,91.5,21.0,15-44 mins (At-Risk)
51033,DDD,2014J,false,false,52.5,21.0,15-44 mins (At-Risk)
51153,DDD,2014J,false,false,156.0,88.5,45-89 mins (Moderate)
51163,DDD,2013J,false,false,24.0,43.5,15-44 mins (At-Risk)
51301,BBB,2013J,true,false,177.0,118.5,90-179 mins (Good)
51485,FFF,2013J,false,false,16.5,1.5,<15 mins (Inactive)
51576,CCC,2014B,true,false,0.0,34.5,15-44 mins (At-Risk)
51576,CCC,2014J,true,false,28.5,40.5,15-44 mins (At-Risk)
51955,DDD,2014J,false,false,33.0,19.5,15-44 mins (At-Risk)
52014,DDD,2013B,false,false,0.0,19.5,15-44 mins (At-Risk)
52130,AAA,2013J,false,false,39.0,97.5,90-179 mins (Good)
52275,FFF,2014J,false,false,0.0,43.5,15-44 mins (At-Risk)
52426,BBB,2014B,false,false,39.0,0.0,<15 mins (Inactive)
52702,GGG,2014J,false,false,0.0,10.5,<15 mins (Inactive)
52765,AAA,2014J,false,false,498.0,445.5,180+ mins (Optimal)
52797,BBB,2013J,false,false,127.5,0.0,<15 mins (Inactive)
52899,BBB,2013B,true,false,190.5,0.0,<15 mins (Inactive)
52899,BBB,2013J,false,false,172.5,189.0,180+ mins (Optimal)
53025,AAA,2013J,false,false,154.5,154.5,90-179 mins (Good)
53136,FFF,2014B,false,false,118.5,48.0,45-89 mins (Moderate)
53166,FFF,2013J,false,false,117.0,1.5,<15 mins (Inactive)
53236,BBB,2014J,true,true,63.0,0.0,<15 mins (Inactive)
53300,CCC,2014J,false,false,0.0,124.5,90-179 mins (Good)
53360,BBB,2013J,true,true,0.0,6.0,<15 mins (Inactive)
53488,DDD,2013B,false,false,85.5,138.0,90-179 mins (Good)
53632,DDD,2014B,true,false,49.5,72.0,45-89 mins (Moderate)
53709,FFF,2013B,true,false,247.5,289.5,180+ mins (Optimal)
53709,FFF,2014B,false,false,0.0,9.0,<15 mins (Inactive)
53895,DDD,2013B,true,false,4.5,0.0,<15 mins (Inactive)
54062,CCC,2014J,true,false,1.5,10.5,<15 mins (Inactive)
54062,EEE,2013J,false,false,15.0,90.0,45-89 mins (Moderate)
54810,DDD,2014B,true,false,30.0,21.0,15-44 mins (At-Risk)
54867,FFF,2014B,false,false,508.5,85.5,45-89 mins (Moderate)
54882,FFF,2013J,false,false,1.5,3.0,<15 mins (Inactive)
55013,FFF,2013J,false,false,124.5,37.5,15-44 mins (At-Risk)
55026,BBB,2013J,false,false,6.0,73.5,45-89 mins (Moderate)
55104,AAA,2014J,false,false,139.5,40.5,15-44 mins (At-Risk)
55419,FFF,2013J,true,false,54.0,90.0,45-89 mins (Moderate)
